"day 0"	"day 1"	"day 7"	"day 21"	"regulation"	"rankingID"	"2"
"87"	-9.2118	-9.2917	-9.7737	-27.182	17.9702	87	2
"85"	-9.2099	-9.2898	-9.7717	-27.178	17.9681	85	2
"86"	-9.2099	-9.2898	-9.7717	-27.178	17.9681	86	2
"84"	-5.5112	-5.5451	-5.7885	-21.606	16.0948	84	2
"254"	-3.7061	-3.7731	-4.0785	-19.311	15.6049	254	2
"257"	-3.7061	-3.7731	-4.0785	-19.311	15.6049	257	2
"260"	-3.7035	-3.7705	-4.0757	-19.304	15.6005	260	2
"261"	-1.9022	-1.9069	-2.1076	-14.895	12.9928	261	2
"58"	1.0157	1.0303	0.89466	-9.6976	10.7425	58	2
"94"	-2.7525	-2.7459	-2.8256	-13.042	10.3027	94	2
"95"	-2.7525	-2.7459	-2.8256	-13.042	10.3027	95	2
"96"	-2.7525	-2.7459	-2.8256	-13.042	10.3027	96	2
"97"	-2.7525	-2.7459	-2.8256	-13.042	10.3027	97	2
"266"	-3.036	-2.8925	-2.9035	-12.951	10.202	266	2
"59"	0	0	0	-10.186	10.186	59	2
"263"	-2.0024	-2.1646	-2.1249	-11.583	9.66	263	2
"88"	-4.6059	-4.6458	-4.8868	-13.591	8.9851	88	2
"90"	-4.2961	-4.3341	-4.5638	-12.846	8.5499	90	2
"91"	-4.2961	-4.3341	-4.5638	-12.846	8.5499	91	2
"92"	-4.2961	-4.3341	-4.5638	-12.846	8.5499	92	2
"93"	-4.2961	-4.3341	-4.5638	-12.846	8.5499	93	2
"81"	-1.0219	-1.0355	-1.1545	-8.7192	7.6973	81	2
"89"	-6.4593	-6.5458	-6.9481	-14.141	7.6817	89	2
"265"	-0.23571	-0.45405	-0.75403	-7.4379	7.20219	265	2
"8"	0.0068318	0	0.76308	-5.063	6.5959918	8	2
"115"	0.061227	0.54611	1.2649	-3.158	5.626573	115	2
"82"	-2.9929	-3.0064	-3.0893	-8.5909	5.598	82	2
"155"	-1.1142	-1.0288	-1.1309	-5.7814	4.838	155	2
"52"	-3.1176	-2.8461	-2.4291	-6.1517	4.4111	52	2
"262"	0	0.15688	-0.087162	-3.5536	3.86736	262	2
"117"	-0.4536	-0.41881	-0.57423	-3.9565	3.57248	117	2
"100"	1.0057	-0.20049	0.13858	-1.7705	3.45434	100	2
"183"	-1.935	-1.8179	-1.7194	-4.7872	3.2834	183	2
"116"	0	-0.059245	-0.34115	-3.1232	3.1232	116	2
"184"	0.8836	-0.32788	0.010196	-1.2662	2.825952	184	2
"83"	-1.4964	-1.5032	-1.5447	-4.2955	2.7991	83	2
"53"	-0.032996	-0.11642	-0.46447	-2.6795	2.646504	53	2
"111"	-1.1678	-1.1547	-1.1659	-2.6884	1.5468	111	2
"54"	-0.72345	-0.7175	-0.66271	-1.4657	0.86373	54	2
"31"	-0.10129	-0.10114	-0.25191	-0.95719	0.8562	31	2
"45"	-0.075028	-0.073145	-0.18916	-0.91601	0.844748	45	2
"60"	0	0	0	-0.80724	0.80724	60	2
"231"	0.002195	0	0.12843	-0.29295	0.552005	231	2
"46"	0	0	0	-0.19705	0.19705	46	2
"171"	0	0	0	-0.11151	0.11151	171	2
"242"	-0.031802	-0.031996	-0.033159	-0.076458	0.044656	242	2
