	0d	0d	0d	0d	0d	0d	1d	1d	1d	1d	1d	1d	7d	7d	7d	7d	7d	7d	21d	21d	21d	21d	21d	21d
Metabolite	mt/wt_0	mt/wt_0	mt/wt_0	mt/wt_0	mt/wt_0	mt/wt_0	mt/wt_1	mt/wt_1	mt/wt_1	mt/wt_1	mt/wt_1	mt/wt_1	mt/wt_7	mt/wt_7	mt/wt_7	mt/wt_7	mt/wt_7	mt/wt_7	mt/wt_21d	mt/wt_21d	mt/wt_21d	mt/wt_21d	mt/wt_21d	mt/wt_21d
Azelaic Acid	1.0818858435	0.905980645	#DIV/0!	0.9471187163	0.8469863701	0.8286254187	0.4610373196	0.4567620761	0	14.8604001292	0.8458888639	0.9905960898	1.3476159033	2.3420288125	#DIV/0!	6.7147262581	3.5064569613	#DIV/0!	5.2690785742	2.8752501897	8.4519293016	0.8739111658	1.2007704784	4.0395542336
Benzoic acid, 4-hydroxy-	1.2198001433	1.4229554379	#DIV/0!	1.313140586	1.3069760935	0.9411823693	0.7224673002	1.6587020715	0	2.1380464717	0.3455411826	1.0658831801	1.6542364476	2.0398591624	#DIV/0!	1.7479195122	2.0124253392	#DIV/0!	1.2337156568	1.2376772904	2.9318884402	2.270889723	3.471078052	1.9102062656
Citric acid	1.8404347465	0.9201427054	#DIV/0!	2.3395063418	6.3561946692	3.6928590087	0.6298765802	1.3282580761	0	11.9472397295	1.8340170681	4.8585221229	2.1365094282	2.9427690329	#DIV/0!	9.3292146741	7.1656251665	#DIV/0!	2.5791441655	2.4616109613	8.0921952129	4.3911277173	3.7814350561	5.6569463977
Fumaric acid	0.9733158959	0.8461347271	#DIV/0!	0.6205894948	1.2033402862	1.6777684069	0.5462267819	0.3779165169	0	13.0686977807	0.9770108154	3.0348491681	2.7723839205	2.4022417941	#DIV/0!	0.4896248111	0.7229977984	#DIV/0!	5.4339811699	1.6602048092	4.0892789676	0.7840576465	0.5192083584	1.1186724577
Glutaric acid, 2-hydroxy-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Glutaric acid, 2-oxo-	2.1284925092	1.2401261122	#DIV/0!	1.5921514783	2.252693998	1.3549410706	0.6616440003	0.9729386073	0	#DIV/0!	3.0207401302	1.6542567565	1.3163448661	1.9362422354	#DIV/0!	1.4557134546	1.7495434497	#DIV/0!	1.2663040778	8.0980840946	4.9096081215	2.0693516983	2.9103031007	3.4954605138
Lactic acid	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	0	#DIV/0!	0	0	#DIV/0!	0	#DIV/0!	0	0	#DIV/0!	#DIV/0!	0	0	0	0	0
Malic acid	2.0155626399	0.9942461877	#DIV/0!	1.2477408218	2.3907175952	1.9262569293	0.7825292847	0.888039559	0	10.1133710922	1.6973795346	2.4783960065	2.7558489339	3.1522404697	#DIV/0!	1.8388862139	2.2670615468	#DIV/0!	1.5453630836	2.0568691074	8.7381532073	1.6436071954	2.4071864763	2.2696250209
Malonic acid	1.1974497553	1.0358305503	#DIV/0!	#DIV/0!	1.4001994962	0.7015569101	0.7997193505	1.3389127428	0	1.6756497859	0.9410664808	0.8661235111	1.1606439137	1.4262411781	#DIV/0!	1.0801949388	2.0172743562	#DIV/0!	1.6266319085	1.6613293276	3.4772383728	1.9649920691	4.7224690219	1.8026909009
Pyruvic acid	0.8108541314	0.5543621208	#DIV/0!	1.1472861085	0.9730832975	0.684944957	0.642837925	1.2593964396	0	0.890691898	0.5964779837	0.8387523754	0.9999978023	0.4466375111	#DIV/0!	0.3899640573	0.651527804	#DIV/0!	1.256786618	0.4788327562	0.5647278905	1.1221284808	1.7399267619	0.8381926733
