	0d	0d	0d	1d	1d	1d	7d	7d	7d	21d	21d	21d
Metabolite	mt/wt_0	mt/wt_0	mt/wt_0	mt/wt_1	mt/wt_1	mt/wt_1	mt/wt_7	mt/wt_7	mt/wt_7	mt/wt_21	mt/wt_21	mt/wt_21
Azelaic Acid	0.9471187163	0.8469863701	0.8286254187	14.8604001292	0.8458888639	0.9905960898	6.7147262581	3.5064569613	#DIV/0!	0.8739111658	1.2007704784	4.0395542336
Benzoic acid, 4-hydroxy-	1.313140586	1.3069760935	0.9411823693	2.1380464717	0.3455411826	1.0658831801	1.7479195122	2.0124253392	#DIV/0!	2.270889723	3.471078052	1.9102062656
Citric acid	2.3395063418	6.3561946692	3.6928590087	11.9472397295	1.8340170681	4.8585221229	9.3292146741	7.1656251665	#DIV/0!	4.3911277173	3.7814350561	5.6569463977
Fumaric acid	0.6205894948	1.2033402862	1.6777684069	13.0686977807	0.9770108154	3.0348491681	0.4896248111	0.7229977984	#DIV/0!	0.7840576465	0.5192083584	1.1186724577
Glutaric acid, 2-hydroxy-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Glutaric acid, 2-oxo-	1.5921514783	2.252693998	1.3549410706	#DIV/0!	3.0207401302	1.6542567565	1.4557134546	1.7495434497	#DIV/0!	2.0693516983	2.9103031007	3.4954605138
Lactic acid	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	0	0	#DIV/0!	0	0	0
Malic acid	1.2477408218	2.3907175952	1.9262569293	10.1133710922	1.6973795346	2.4783960065	1.8388862139	2.2670615468	#DIV/0!	1.6436071954	2.4071864763	2.2696250209
Malonic acid	#DIV/0!	1.4001994962	0.7015569101	1.6756497859	0.9410664808	0.8661235111	1.0801949388	2.0172743562	#DIV/0!	1.9649920691	4.7224690219	1.8026909009
Pyruvic acid	1.1472861085	0.9730832975	0.684944957	0.890691898	0.5964779837	0.8387523754	0.3899640573	0.651527804	#DIV/0!	1.1221284808	1.7399267619	0.8381926733
Salicylic acid	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	1.4539122914	1.1503747032	#DIV/0!	1.0644851341	1.0177191424	1.2116334501
Shikimic acid	0.7238260047	0.6119004069	0.6881143801	5.3432689861	0.9130545414	0.9807703442	1.4116041014	1.087959514	#DIV/0!	1.4129884472	2.2645363527	2.1218115148
Succinic acid	0.8634231915	1.543895738	1.3686382168	8.5271931225	1.7894109637	1.391671869	2.0525640827	1.6882507365	#DIV/0!	1.2885448488	1.4381395587	1.9929969229
Alanine	0.8175495515	2.2787771509	1.5124908105	5.1041992554	9.1716878943	4.0012451179	3.92229407	2.7835870019	#DIV/0!	1.0607706289	0.9912845019	0.5827052475
