		MT_e1_0d				MT_e1_1d				MT_e1_7d				MT_e1_21d		
		rv				rv				rv				rv		
metabolite		WT_e1_0d	?	sdev		WT_e1_1d	?	sdev		WT_e1_7d	?	sdev		WT_e1_21d	?	sdev
Alanine		1.03698556545	?	0.157498704033244		1.0646209079	?	0.427127228497502		3.72897238885	?	1.9056258829662		1.1504797769	?	0.351906160606375
Alanine, beta-		1.77283854945	?	0.581012645163155		1.3295564909	?	0.61592222700676		3.49206270325	?	0.536898989022484		2.8073055401	?	1.68212454801402
Asparagine		2.2981206065	?	1.91006135980427		2.9908711521	?	4.05456220797242		3.52882003295	?	1.96413089394994		23.9034840687	?	23.0697488413865
Aspartic acid		0.9361097092	?	0.0910532399250379		1.07771440215	?	0.432307370941977		2.58276647715	?	1.20822590417869		1.71079065106667	?	0.693055896518456
Azelaic Acid		0.99393324425	?	0.124383758705316		0.45889969785	?	0.00302305367007369		1.8448223579	?	0.703156111394763		5.53208602183333	?	2.79762706010083
Benzoic acid, 4-hydroxy-		1.3213777906	?	0.143652486445611		1.19058468585	?	0.662017955568866		1.847047805	?	0.272676436614646		1.8010937958	?	0.979298891803716
Butanoic acid, 4-amino-		1.8917747929	?	1.03739849866675		1.1370463948	?	0.831382323916517		1.644688148	?	0.288980011982223		3.29723578413333	?	2.33407123725551
Citric acid		1.38028872595	?	0.650744742933819		0.97906732815	?	0.493830291606095		2.53963923055	?	0.570111633880155		4.37765011323333	?	3.21742715327257
Dehydroascorbic acid dimer		10.7678216696	?	0.98785540484828		7.8310988672	?	4.3161452414283		4.55536012995	?	4.29472625867638		131.4962036393	?	205.172929491534
Erythronic acid		1.2071440297	?	0.540226767531483		0.80801945595	?	0.311090746267312		2.29630653235	?	0.156660381850836		3.07589946626667	?	1.01538163669158
Fructose		1.32736345455	?	0.670097697344802		0.22865282875	?	0.114158256147036		2.8752777982	?	2.14282100881205		4.5718947522	?	1.28768334070539
Fructose-6-phosphate		2.33495559775	?	0.679771249885935		0.89184632965	?	0.409636628238732		2.13709687495	?	0.0625411696318226		2.76229962196667	?	0.7831009801269
Fumaric acid		0.9097253115	?	0.0899306668977109		0.4620716494	?	0.119013329724805		2.5873128573	?	0.261730007580248		3.7278216489	?	1.91267758654612
Galactinol		6.9046841277	?	2.10907092942524		1.3039428195	?	0.236914554006807		7.26618883515	?	1.5551806396266		2.65027199993333	?	1.59985983387054
Galactonic acid		1.42319307915	?	0.313246044223078		1.1960179726	?	0.566123503763134		2.0607892067	?	0.341235951937991		2.7699758254	?	0.83081506132748
Glucose		1.31826928365	?	0.742486150774859		0.36410325435	?	0.0456773107108402		4.1852212761	?	0.997898518687582		8.4207372747	?	4.61110555001621
Glucose, 1,6-anhydro-, beta-		0.62518125915	?	0.0965096644038496		1.6029733908	?	1.21010860886407		2.1530117267	?	1.05271286615425		1.39906937203333	?	0.502649004094384
Glucose-6-phosphate		1.9675036527	?	0.221048008389505		0.79100648195	?	0.146857801979704		2.44253435485	?	0.350173233573722		3.35268403443333	?	1.10997513287663
