testratio1,testratio2,testratio3,testratio4,testratio5,testratio6,testratio7,testratio8,testratio9
"Alanine",1.33655772876,0.589998343345923,4.08127481668,3.36704335214374,3.5409564624,1.21396552033636,1.01436661816667,0.313775054112289
"Alanine, beta-",2.40094186586,0.758870524777876,3.23807771366,3.42891315889475,3.707051156,0.611731783600068,3.23155918625,1.16674172375326
"Asparagine",3.06389512466,2.97463336941955,4.29386087592,5.47328442461067,17.076729452425,26.0129439603569,28.1526829792667,17.7654526015132
"Aspartic acid",1.0371815831,0.128586602926436,2.61464656486,2.50171971880815,1.824248732625,1.11998629785608,1.61164227343333,0.496127159553294
"Azelaic Acid",0.92211939872,0.100991136267416,3.52293689572,6.3422012292899,3.4777069838,2.3313925211762,3.78508232388333,2.82941129127479
"Benzoic acid, 4-hydroxy-",1.240810926,0.182349086439376,1.18612804122,0.718592598183458,1.86361011535,0.19186049258064,2.175909238,0.905162317481447
"Butanoic acid, 4-amino-",2.36963976702,1.13569788827607,5.10192757426,8.37545107271281,2.23976935555,1.45061005329676,3.39310168743333,1.4861125908922
"Citric acid",3.02982749432,2.1122439301584,4.11958271536,4.6640003821419,5.393529575425,3.42755245309083,4.4937432518,2.12673751534654
"Dehydroascorbic acid dimer",5.840612269325,5.73737140757038,10.29329064594,13.8645092507884,4.1011317526,3.13708576147549,78.12160912345,142.892274152038
"Erythronic acid",1.120729109,0.297225893236505,2.42901739516,2.84466261467821,1.85458430875,0.544372458316768,2.61647498628333,0.832616337588259
"Fructose",1.85654434462,0.759610666490242,17.2237245433,23.6236113291647,3.769477826725,3.30519297444371,2.65197801416667,2.29782693896893
"Fructose-6-phosphate",2.04442757238,0.627592945378034,1.73158380798,0.963901836873601,1.814054905025,0.391700645210018,2.3497809448,1.01493992370439
"Fumaric acid",1.06422976218,0.402625405528357,3.6009402126,5.39821854427947,1.596812081025,1.15759826417661,2.26756723488333,2.01450830874235
"Galactinol",11.89815389448,5.95402287814747,3.52556448272,3.48008048534772,4.39196053045,3.49006641638669,1.71602632526667,1.4529009998269
"Galactonic acid",1.37218376642,0.173172954831766,1.37085393076,0.760183049607557,1.647749961825,0.516048078238954,2.01150143975,0.984989554886729
"Glucose",1.29073447542,0.478552266950693,6.98476628874,7.39690691904903,4.708709869125,2.75704319924587,5.48906711423333,4.63544745204801
"Glucose, 1,6-anhydro-, beta-",0.93916882778,0.442553422897448,1.93345445728,1.82678285810092,1.63870377585,0.849932414015934,1.34154222008333,0.379169339672241
"Glucose-6-phosphate",1.73654690258,0.246696474501193,1.9614774583,1.66360611825392,2.08061712995,0.555915692748375,3.11096751643333,0.950148784319448
"Glutamic acid",8.99413773072,8.18480274540476,9.52821074526,18.0079843573573,3.60785430355,4.79551306571619,21.91945457555,26.8382603876285
"Glutamine",1.61504787785,0.929937466182867,2.9567736312,3.43340028429761,23.982792178775,40.916406306141,27.9261930959667,22.6059480807863
"Glutaric acid, 2-oxo-",1.71368103366,0.455609919099536,1.577394873575,1.04771502464676,1.61446100145,0.280395223529522,3.79151860111667,2.4496280903198
"Glyceric acid",1.14303951132,0.259951779550386,2.8513045742,2.97973395678284,1.2482400857,0.430766904545743,1.39144347186667,0.228147348299249
"Glycerol-3-phosphate",2.27416106514,0.561713884400718,1.52785066436,1.08442207612802,1.593121175375,0.535299033643151,2.28323150583333,0.826438263971538
"Glycerophosphoglycerol",2.60896444286,0.632338724131154,2.08614817356,1.6866961795739,2.0294048427,0.75305642773586,2.26104465225,1.26251076909751
"Glycine",1.4590325808,0.372924197977838,13.02330612406,17.0700975103251,16.692708167275,23.8552381796998,5.14038614498333,2.63192037821127
"Inositol, myo-",3.10846312624,1.12998035731586,1.82454015008,1.25022992096668,1.6295840559,0.726243230067495,1.25507561406667,0.469401687023738
"Lyxonic acid",1.23639246182,0.656499530637172,2.0963858167,2.48338664394275,1.3805177385,0.498103342895065,2.72614333363333,2.50374601725273
