testratio1,testratio2,testratio3,testratio4,testratio5,testratio6,testratio7,testratio8,testratio9
"Alanine",1.5362725043,0.730904029973887,6.09237742253333,2.72318594545176,3.35294053595,0.805187489638562,0.878253459433333,0.258299515377222
"Alanine, beta-",2.81967741013333,0.570489386133947,4.5104251955,4.15384826132111,3.92203960875,0.80591976121872,3.6558128324,0.183573312386983
"Asparagine",3.5744114701,3.85945192284017,5.1625206918,6.99030116677708,30.6246388719,35.9441031565991,32.4018818898333,14.235444481722
"Aspartic acid",1.10456283236667,0.10907708206189,3.63926800666667,2.91321543147332,1.0657309881,0.0436051784827467,1.5124938958,0.324865692333128
"Azelaic Acid",0.8742435017,0.0637760049809122,5.56562836096667,8.04983364504929,5.1105916097,2.26858897563988,2.03807862593333,1.74101628614491
"Benzoic acid, 4-hydroxy-",1.18709968293333,0.212992943780826,1.1831569448,0.901988722090278,1.8801724257,0.187033863935056,2.5507246802,0.817196968819774
"Butanoic acid, 4-amino-",2.68821641643333,1.28877073544273,7.7451816939,10.6653781826912,2.8348505631,2.19381233439303,3.48896759073333,0.214166354012009
"Citric acid",4.12952000656667,2.0436366849715,6.21325964016667,5.19093473810652,8.2474199203,1.52988881252802,4.60983639036667,0.956692641799598
"Dehydroascorbic acid dimer",0.91340286905,0.816617295737208,11.9347518317667,19.1057765627488,3.1926749979,0,24.7470146076,20.075657287386
"Erythronic acid",1.06311916186667,0.135344322042241,3.50968268796667,3.4287653061927,1.41286208515,0.289840565813964,2.1570505063,0.262511880669944
"Fructose",2.20933160466667,0.680279778183922,28.553772353,25.1943658537246,4.66367785525,4.99828422111763,0.732061276133333,0.695451202282694
"Fructose-6-phosphate",1.85074222213333,0.644999052879271,2.29140879353333,0.77398150137616,1.4910129351,0.197363449358835,1.93726226763333,1.20478027030366
"Fumaric acid",1.1672327293,0.529513578481421,5.69351925473333,6.46943725441948,0.60631130475,0.165019621865592,0.807312820866667,0.300407895932361
"Galactinol",15.227133739,5.20757009119965,5.00664559153333,3.9959794075085,1.51773222575,1.03843659428332,0.7817806506,0.315129907042483
"Galactonic acid",1.33817755793333,0.0811148516054945,1.4874112362,0.971886107844891,1.23471071695,0.0083193172608652,1.2530270541,0.096990777395971
"Glucose",1.2723779366,0.425579713943961,11.398541645,6.03093047311636,5.23219846215,4.55103273178908,2.55739695376667,2.58303474987148
"Glucose, 1,6-anhydro-, beta-",1.14849387353333,0.471949521825366,2.15377516826667,2.40001254993448,1.124395825,0.0300045561214929,1.28401506813333,0.311190182070703
"Glucose-6-phosphate",1.58257573583333,0.0915723175755924,2.74179144253333,1.80029160108014,1.71869990505,0.529687802486493,2.86925099843333,0.921754500956028
"Glutamic acid",13.8360512708333,6.75936367042381,15.0337120892667,23.1071438827092,6.0862558384,6.65567895601669,39.6671250312,29.0858036422574
"Glutamine",2.0407582331,1.20931866919037,4.2094594366,4.11388372799704,45.7030211671,55.9924282477709,45.2126229553667,15.1801957117911
"Glutaric acid, 2-oxo-",1.7332621823,0.46521420093474,2.33749844335,0.966249659921941,1.60262845215,0.20776918205122,2.8250384376,0.716867585745004
"Glyceric acid",0.974545826266667,0.166000616754918,4.073954463,3.47660029516352,0.8804085863,0.106166248715687,1.26788164866667,0.137191733795929
"Glycerol-3-phosphate",2.1461878001,0.668367561388419,1.7952277316,1.42683361440747,1.25502409275,0.00588626069038072,2.07265598413333,0.700290549907698
"Glycerophosphoglycerol",2.62888600416667,0.356457313798124,2.53159341293333,2.08284481282305,2.0490557959,1.29715781817403,1.7224119617,0.114771243358322
"Glycine",1.6839275569,0.195659298808185,21.2027763238333,18.2177552423285,30.51375730225,30.6722578248449,4.4497460612,1.36976631893427
"Inositol, myo-",3.69277944253333,1.05967389435287,2.03856298923333,1.63191961546498,1.0063582449,0.0665654921609107,0.9980959535,0.273577772000964
"Lyxonic acid",1.59081760663333,0.608982658922258,2.85977808996667,3.15698468644981,1.46553142025,0.424159997796534,1.98561443956667,0.503211259124336
"Lyxonic acid-1,4-lactone",2.66750711983333,0.75026604969329,1.3031618414,0.0608719738591284,1.52582174345,0.976162294882446,1.84735811486667,0.691426298046651
"Malic acid",1.85490511543333,0.574819351744108,4.76304887776667,4.64994166963833,2.05297388035,0.302765681430397,2.10680623086667,0.406996066744974
"Malonic acid",1.05087820315,0.494014910257016,1.1609465926,0.447318281620343,1.5487346475,0.662615210553879,2.83005066396667,1.64089026092
"Maltose",1.4571558584,0.936853043723838,3.9170460549,3.44556920216128,1.1920013453,0.631180683419658,1.59497536683333,1.0278006999267
"N-Carboxyglycine",2.9851571525,0.58241155717998,31.8392528639,39.8879069285735,64.550610983,62.6734365132731,10.0172266125667,7.82266843576537
"Nonanoic acid",1.161035954,0.199602290058235,1.131053314,0.303559844582189,2.9199057858,2.34132287816829,2.46325108626667,1.12679895650853
