Metabolite_e2	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_21d	wt/mt_21d	wt/mt_21d
Azelaic Acid	1.0558338493	1.1806565434	1.2068179148	1.5227710435	0.8459113387	1.3360260515	0.067292939	1.1821883969	1.0094931832	12.8256249276	0.532784262	#DIV/0!
Benzoic acid, 4-hydroxy-	0.7615330839	0.7651249361	1.0624933409	0.6557581541	1.1391145023	1.5905137555	0.4677166812	2.8940110484	0.9381891174	2.7884723743	0.4580719259	#DIV/0!
Citric acid	0.4274406024	0.1573268366	0.2707928999	3.7587274952	2.8824040908	4.1535572335	0.0837013421	0.5452511961	0.2058239059	2.8877580092	0.6720074285	#DIV/0!
Fumaric acid	1.6113711372	0.8310201291	0.5960298191	4.9430922342	1.6716387502	5.4300417893	0.076518718	1.0235301229	0.3295056672	1.17833258	0.3070423492	#DIV/0!
Glutaric acid, 2-hydroxy-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Glutaric acid, 2-oxo-	0.6280809418	0.4439129331	0.7380394777	#DIV/0!	1.9216521183	1.377423268	0	0.3310446966	0.6045010825	2.3073002959	1.3071601793	#DIV/0!
Lactic acid	0	0	0	#DIV/0!	0.8592415881	0.5180352267	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!
Malic acid	0.8014484919	0.4182844523	0.5191415459	6.8018803845	2.9220228127	5.1076291853	0.098878998	0.5891434294	0.4034867702	1.1468414166	0.456301125	#DIV/0!
Malonic acid	#DIV/0!	0.714183945	1.4254011123	0	1.1484078036	1.087123306	0.5967834141	1.0626241826	1.1545697435	1.975470705	0.8036167882	#DIV/0!
Pyruvic acid	0.8716221635	1.0276612522	1.4599713301	0.3157846986	0.6752909537	1.7845436056	1.1227226859	1.6765078132	1.192246996	0.7327264354	0.4245742545	#DIV/0!
Salicylic acid	0	0	0	#DIV/0!	#DIV/0!	#DIV/0!	0	0	0	0.9150798194	0.3317354967	#DIV/0!
Shikimic acid	1.3815474901	1.6342528764	1.4532467697	2.7971475636	0.7827756346	1.3716786685	0.1871513492	1.0952248247	1.0196066856	2.2292615866	0.5905427106	#DIV/0!
Succinic acid	1.1581806116	0.647712132	0.7306532784	2.2934518203	1.8472333043	1.3635490884	0.1172718837	0.5588431167	0.7185601881	2.5206916504	0.8657991197	#DIV/0!
Alanine	1.2231674498	0.4388318531	0.6611610418	2.1311404973	7.549528227	1.5610159447	0.1959171165	0.109031185	0.2499222043	3.284591386	1.0186747217	#DIV/0!
Alanine, 3-cyano-	0	0	0	#DIV/0!	1.968666562	1.1689565547	0	4.3800400091	0.7065396509	3.4096091404	0.1265969378	#DIV/0!
Alanine, beta-	0.2984492359	0.3458008818	0.4511533901	8.0929089118	1.7966603134	1.8782657073	0.1074561498	0.49045868	0.4574050231	1.5053507211	0.7336961958	#DIV/0!
Asparagine	0.4243419527	0.1266483994	2.1241846324	1.2740932505	1.1435363839	0.5844398739	0.9083427901	0.8676896287	0.0755619717	1.5100826919	0.1349331919	#DIV/0!
Aspartic acid	1.0076323262	0.8262430632	0.9001180353	4.7632310345	1.6533166965	1.9519389717	0.1431308063	0.4436245114	0.5962925015	0.9754349463	0.7487056836	#DIV/0!
Butanoic acid, 4-amino-	0.3484070348	0.257976715	0.7586537925	8.1360313137	2.2870142933	0.9707901247	0.0498648235	0.7999755407	0.5177887125	3.8056342827	0.538796627	#DIV/0!
