testratio1,testratio2,testratio3,testratio4,testratio5,testratio6,testratio7,testratio8,testratio9
"Alanine",0.85486644876,0.315180069550263,0.5195797776,0.504445753844322,0.30777359805,0.100476567622674,1.08128888111667,0.381844269892182
"Alanine, beta-",0.45751217508,0.169104256517124,0.54807854082,0.364500094137009,0.275128593525,0.0436250411945149,0.353635649083333,0.150231710996127
"Asparagine",0.8009295367,0.820033381313446,2.01915176894,3.4061935211102,0.22012230885,0.185367808512297,0.09668511155,0.15043500204072
"Aspartic acid",0.97612998108,0.121481172141242,0.64023903492,0.425330621889276,0.686930711475,0.314756582636436,0.682474907,0.247937951300926
"Azelaic Acid",1.09427931686,0.112453455727768,1.32346398838,0.888985810289918,0.4007864968,0.254259837769412,0.48008837675,0.41286443292061
"Benzoic acid, 4-hydroxy-",0.82234409728,0.14049005501471,1.25738871188,0.98087341401251,0.540939998625,0.0563392885555403,0.535259390383333,0.227200540868628
"Butanoic acid, 4-amino-",0.52186679156,0.270325548315022,0.75365879924,0.656205008431204,0.5605395016,0.242634776396616,0.353476969966667,0.182526943297039
"Citric acid",0.49713963294,0.36103464307587,0.63505095844,0.595302502488436,0.2636536219,0.170744568897993,0.264415837983333,0.113297436013834
"Dehydroascorbic acid dimer",0.95844191565,1.37263565197718,0.51802971132,0.574099891621569,0.367820949166667,0.267619705662124,0.165111224583333,0.217234368051517
"Erythronic acid",0.93843701256,0.221931359420702,0.823027859,0.575574884218727,0.57974712845,0.187053249172215,0.407555075333333,0.0989287888772155
"Fructose",0.6395456658,0.325740585176874,2.03186116772,2.97969134660348,0.492614936275,0.374484179897165,1.29794756578333,1.59185947654674
"Fructose-6-phosphate",0.52831899974,0.162916547846243,0.78248830458,0.527404838338031,0.572368789325,0.131245559348506,0.562706119816667,0.423980826506601
"Fumaric acid",1.04953632758,0.383102699605315,1.181276597,1.06517156610374,1.050622117375,0.810869945157444,0.85437442265,0.665135423228111
"Galactinol",0.10435624614,0.0537894802539197,0.4873108862,0.305437233765816,0.500539226475,0.536914121489711,0.9685694422,0.632800420210156
