,,WT_0d_e2,,,,WT_1d_e2,,,,WT_7d_e2,,,,WT_21d_e2,,
,,rv,,,,rv,,,,rv,,,,rv,,
metabolite,,MT_0d_e2,±,sdev,,MT_1d_e2,±,sdev,,MT_7d_e2,±,sdev,,MT_21d_e2,±,sdev
Alanine,,0.774386781566667,±,0.404240810868927,,3.747228223,±,3.30520415279951,,0.184956835266667,±,0.0710821050151412,,2.15163305385,±,1.60224503893013
"Alanine, beta-",,0.3651345026,±,0.0781663696701656,,3.92261164416667,±,3.61181385669319,,0.3517732843,±,0.21222931634516,,1.11952345845,±,0.545642147572916
Asparagine,,0.891724994833333,±,1.0776701404383,,1.0006898361,±,0.36634587090307,,0.617198130166667,±,0.469510879535128,,0.8225079419,±,0.97237753659529
Aspartic acid,,0.911331141566667,±,0.0912130281101963,,2.78949556756667,±,1.71581397181755,,0.394349273066667,±,0.23056434532195,,0.86207031495,±,0.160321799148596
Azelaic Acid,,1.14776943583333,±,0.0806859243722423,,1.23490281123333,±,0.349577169287424,,0.752991506366667,±,0.60007733099597,,6.6792045948,±,8.69235099469151
"Benzoic acid, 4-hydroxy-",,0.863050453633333,±,0.172731943517998,,1.1284621373,±,0.467468836658914,,1.43330561566667,±,1.28669396097848,,1.6232721501,±,1.64784195994381
"Butanoic acid, 4-amino-",,0.4550125141,±,0.266820033254762,,3.7979452439,±,3.81409944511759,,0.4558763589,±,0.378868547996258,,2.17221545485,±,2.31000305938103
Citric acid,,0.285186779633333,±,0.135630931018693,,3.5982296065,±,0.65059761547126,,0.2782588147,±,0.239148863558879,,1.77988271885,±,1.566772261031
Dehydroascorbic acid dimer,,1.8236220686,±,1.63038826860841,,0.4566827218,±,0.473092061464426,,0.7630064528,±,0.656267594161211,,3.3678268197,±,0
Erythritol,,0.30612376245,±,0.00601875227792111,,3.9750838846,±,0.378576812473501,,0.30128848945,±,0.0944732476442992,,4.67961767735,±,2.34460188921964
Erythronic acid,,0.950335993033333,±,0.114498178780275,,2.35422415113333,±,0.903057369411525,,0.480606971666667,±,0.300767696571822,,1.18687528075,±,0.819127355104793
Fructose,,0.490313324533333,±,0.183599448934528,,1.1221351995,±,0.578457383828236,,0.0556873135666667,±,0.0374428832653615,,28.83324540445,±,35.0560936658736
Fructose-6-phosphate,,0.5823809163,±,0.183432491645185,,1.24689562646667,±,0.393467745829147,,0.468485072,±,0.144317518172561,,1.1760486909,±,0.0785467308159605
Fumaric acid,,1.01280702846667,±,0.531520795121199,,4.0149242579,±,2.0438982839786,,0.476518169366667,±,0.490323522888354,,0.7426874646,±,0.616095230580272
Galactinol,,0.0726495249,±,0.0306599565430488,,1.70228340203333,±,2.0002797188925,,0.2923344042,±,0.184358626468873,,1.18827922095,±,0.0557298894572526
